mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal,network_type
404,472,3682,31495,0,77.767158,12.984079,1134,4,1,1680000000,1700000000,-104.0,UMTS
405,1,7459,78236,0,77.624498,13.001009,669,9,1,1680000000,1700000000,-99.2,UMTS
404,20,6324,13676,0,77.4026,13.104715,835,3,1,1680000000,1700000000,-112.5,GSM
405,10,9144,39427,0,77.64149,13.123747,1798,1,1,1680000000,1700000000,-106.1,GSM
405,472,3914,14238,0,77.754181,13.01432,878,4,1,1680000000,1700000000,-95.3,LTE
405,472,4474,92988,0,77.654274,12.838987,1499,14,1,1680000000,1700000000,-91.3,LTE
405,472,9225,29785,0,77.643652,13.024018,1502,15,1,1680000000,1700000000,-94.2,LTE
405,20,4486,9675,0,77.707325,12.862141,532,1,1,1680000000,1700000000,-104.4,LTE
404,10,2387,33325,0,77.626872,13.156568,1625,4,1,1680000000,1700000000,-120.0,UMTS
405,20,2366,67784,0,77.505097,12.980684,1110,4,1,1680000000,1700000000,-109.9,GSM
405,472,288,90166,0,77.700811,12.885906,1576,4,1,1680000000,1700000000,-118.1,GSM
404,1,7223,21730,0,77.753915,12.757276,1029,3,1,1680000000,1700000000,-102.9,GSM
405,20,8417,80818,0,77.688837,12.701623,507,1,1,1680000000,1700000000,-104.6,GSM
404,472,6047,41306,0,77.703313,13.022012,590,4,1,1680000000,1700000000,-118.4,GSM
404,472,7887,73063,0,77.751204,12.728963,438,2,1,1680000000,1700000000,-104.0,LTE
405,472,6218,58422,0,77.8,12.971398,1942,5,1,1680000000,1700000000,-107.8,UMTS
404,472,614,44309,0,77.585358,12.941306,245,1,1,1680000000,1700000000,-76.7,LTE
404,10,9455,76525,0,77.511391,12.957078,1068,9,1,1680000000,1700000000,-102.3,UMTS
404,10,6696,96448,0,77.648703,12.970043,794,24,1,1680000000,1700000000,-98.3,LTE
404,472,9116,13833,0,77.618231,13.020638,203,4,1,1680000000,1700000000,-91.2,LTE
404,10,8056,64092,0,77.616235,13.026072,537,10,1,1680000000,1700000000,-77.3,NR
405,472,9205,87752,0,77.632123,13.016029,1571,17,1,1680000000,1700000000,-99.2,UMTS
405,472,921,77569,0,77.475959,12.943336,1076,1,1,1680000000,1700000000,-85.4,LTE
404,472,1222,78992,0,77.741088,12.951425,239,19,1,1680000000,1700000000,-91.1,NR
405,10,5247,32285,0,77.72373,12.841278,643,3,1,1680000000,1700000000,-119.3,GSM
404,20,8908,28938,0,77.647641,12.921589,1136,10,1,1680000000,1700000000,-94.9,NR
404,472,9186,40240,0,77.773304,12.8326,1458,3,1,1680000000,1700000000,-113.2,GSM
405,10,4425,67244,0,77.623293,12.952333,1100,9,1,1680000000,1700000000,-87.2,NR
404,10,7339,73309,0,77.671898,12.837157,1545,11,1,1680000000,1700000000,-86.2,NR
405,472,785,41404,0,77.714817,12.886128,846,2,1,1680000000,1700000000,-115.7,GSM
405,10,6758,82351,0,77.718449,13.149491,1634,1,1,1680000000,1700000000,-108.5,GSM
405,472,3038,97542,0,77.771952,12.777277,1993,2,1,1680000000,1700000000,-104.1,GSM
405,472,7811,30154,0,77.772326,12.866093,508,1,1,1680000000,1700000000,-105.5,GSM
404,1,3264,53227,0,77.584121,13.108293,772,4,1,1680000000,1700000000,-102.7,LTE
404,1,4379,24405,0,77.427768,12.839302,1289,3,1,1680000000,1700000000,-112.5,UMTS
404,20,9546,25914,0,77.540243,13.079136,621,9,1,1680000000,1700000000,-91.0,UMTS
405,472,5243,87951,0,77.627793,13.010463,1836,2,1,1680000000,1700000000,-103.3,UMTS
404,472,6311,89777,0,77.632761,12.833254,1632,3,1,1680000000,1700000000,-94.2,LTE
405,10,7344,89555,0,77.626446,13.023676,537,6,1,1680000000,1700000000,-93.1,LTE
404,10,8545,88012,0,77.717494,12.955587,1396,3,1,1680000000,1700000000,-113.3,GSM
404,472,4111,63277,0,77.437355,13.00963,1351,2,1,1680000000,1700000000,-110.4,UMTS
404,10,190,99430,0,77.614709,12.913874,1862,15,1,1680000000,1700000000,-95.1,LTE
405,472,7712,88500,0,77.582613,12.998982,1187,6,1,1680000000,1700000000,-105.2,LTE
405,1,7877,59991,0,77.638181,13.193946,630,4,1,1680000000,1700000000,-116.3,GSM
405,472,8949,11561,0,77.634006,13.015476,383,11,1,1680000000,1700000000,-88.3,LTE
404,10,6983,52049,0,77.795173,12.988222,1953,7,1,1680000000,1700000000,-98.4,UMTS
404,472,3695,36774,0,77.623319,13.02761,992,7,1,1680000000,1700000000,-105.7,GSM
404,10,2191,82560,0,77.555543,12.942821,1193,7,1,1680000000,1700000000,-92.6,UMTS
404,10,4362,50689,0,77.557608,12.713483,770,4,1,1680000000,1700000000,-103.7,LTE
405,472,7805,3540,0,77.530738,12.80583,1634,4,1,1680000000,1700000000,-108.4,UMTS
404,1,3366,3671,0,77.799963,12.96971,1372,1,1,1680000000,1700000000,-107.1,UMTS
405,20,4298,49351,0,77.450488,12.776191,443,2,1,1680000000,1700000000,-120.0,GSM
404,1,520,41888,0,77.785494,13.002946,1279,5,1,1680000000,1700000000,-105.7,GSM
404,20,5041,90687,0,77.700252,12.905864,1329,4,1,1680000000,1700000000,-90.7,UMTS
405,10,6982,65251,0,77.718491,13.102764,316,1,1,1680000000,1700000000,-112.5,LTE
405,1,8648,86256,0,77.544875,12.916762,653,2,1,1680000000,1700000000,-106.7,UMTS
405,472,4122,12359,0,77.767847,13.007956,671,10,1,1680000000,1700000000,-114.2,UMTS
