lat,lng,signal_dbm,network_type,mcc,mnc,cell_id,range,samples
12.9,77.51,-95,2G,405,34,24612,1000,1
12.9,77.51,-95,2G,404,45,21512,1000,1
12.9,77.51,-95,2G,404,86,28082,1000,1
12.9,77.5,-95,2G,404,45,21513,1000,1
12.9,77.51,-95,2G,404,45,36143,1000,1
12.9,77.51,-95,3G,404,45,27808782,1000,1
12.9,77.51,-95,4G,404,45,550666,1000,1
12.9,77.51,-95,2G,404,45,35881,1000,1
12.9,77.51,-95,4G,405,861,877618,1000,1
12.9,77.51,-95,3G,404,45,27808775,1000,1
12.9,77.51,-95,3G,404,45,27288959,1000,1
12.9,77.51,-95,3G,404,45,27284487,1000,1
12.9,77.51,-95,3G,404,45,27823147,1000,1
12.9,77.51,-95,3G,404,45,27823153,1000,1
12.9,77.51,-95,4G,404,86,206467591,1000,1
12.9,77.51,-95,4G,405,861,877605,1000,1
12.9,77.51,-95,2G,404,45,35883,1000,1
12.9,77.51,-95,3G,405,34,278889,1000,1
12.9,77.51,-95,2G,405,803,12473,1000,1
12.9,77.51,-95,4G,404,45,231318540,1000,1
12.9,77.51,-95,2G,404,86,28083,1000,1
12.9,77.51,-95,2G,404,86,12923,1000,1
12.9,77.51,-95,3G,404,71,20484485,1000,1
12.9,77.51,-95,2G,404,44,5443,1000,1
12.91,77.51,-95,2G,405,10,34943,1000,1
12.91,77.5,-95,3G,404,45,27808776,1000,1
12.91,77.5,-95,3G,404,86,20543754,1000,1
12.91,77.51,-95,2G,405,34,24613,1000,1
12.91,77.5,-95,4G,404,45,2121995,1000,1
12.91,77.5,-95,3G,405,34,286761,1000,1
12.91,77.5,-95,2G,405,34,6463,1000,1
12.91,77.5,-95,2G,405,803,28081,1000,1
12.91,77.5,-95,4G,404,45,550667,1000,1
12.91,77.5,-95,2G,404,44,5841,1000,1
12.91,77.51,-95,2G,404,86,42762,1000,1
12.91,77.51,-95,2G,404,45,24022,1000,1
12.91,77.5,-95,3G,404,45,27808783,1000,1
12.91,77.5,-95,4G,404,45,529921,1000,1
12.91,77.51,-95,2G,404,44,5451,1000,1
12.91,77.51,-95,2G,405,34,16741,1000,1
12.91,77.5,-95,3G,405,34,278749,1472,1
12.91,77.5,-95,2G,404,86,12433,1000,1
12.91,77.51,-95,2G,404,45,21511,1000,1
12.91,77.51,-95,3G,404,45,27808777,1000,1
12.91,77.51,-95,2G,405,10,30601,1000,1
12.91,77.51,-95,2G,405,803,27833,1000,1
12.91,77.51,-95,2G,404,45,20693,1608,1
12.9,77.51,-95,2G,404,45,25982,1000,1
12.9,77.52,-95,2G,404,45,10162,1606,1
12.9,77.51,-95,4G,404,45,529666,1000,1
12.9,77.51,-95,3G,404,45,27823152,1000,1
12.9,77.52,-95,2G,405,34,29113,1000,1
12.9,77.51,-95,4G,405,861,877604,1000,1
12.9,77.52,-95,2G,404,86,64622,1000,1
12.9,77.51,-95,2G,405,34,10663,1000,1
12.9,77.52,-95,2G,405,10,36712,1000,1
12.9,77.52,-95,2G,405,803,15682,1000,1
12.9,77.52,-95,2G,405,803,28082,1000,1
12.9,77.52,-95,2G,405,803,36373,1000,1
12.9,77.52,-95,2G,405,803,44473,1000,1
12.9,77.52,-95,4G,404,45,529676,1000,1
12.9,77.52,-95,2G,405,803,22203,1000,1
12.9,77.51,-95,4G,405,861,877616,1000,1
